COD_VEHICLE,COD_PATH,Start Inventory,Target Inventory,pQuantityVehicles,isFeasible
0.42LKM-600L,1008,600,1,1,1
0.55LKM-800L,1008,800,1,1,1
0.58LKM-1000L,1008,1000,1,1,1
0.65LKM-1200L,1008,1200,1,1,1
0.546LKM-600L,1008,600,1,1,1
0.715LKM-800L,1008,800,1,1,1
0.754LKM-1000L,1008,1000,1,1,1
0.845LKM-1200L,1008,1200,1,1,1
0.42LKM-600L,1009,600,1,1,1
0.55LKM-800L,1009,800,1,1,1
0.58LKM-1000L,1009,1000,1,1,1
0.65LKM-1200L,1009,1200,1,1,1
0.546LKM-600L,1009,600,1,1,1
0.715LKM-800L,1009,800,1,1,1
0.754LKM-1000L,1009,1000,1,1,1
0.845LKM-1200L,1009,1200,1,1,1
0.42LKM-600L,101,600,1,1,1
0.55LKM-800L,101,800,1,1,1
0.58LKM-1000L,101,1000,1,1,1
0.65LKM-1200L,101,1200,1,1,1
0.546LKM-600L,101,600,1,1,1
0.715LKM-800L,101,800,1,1,1
0.754LKM-1000L,101,1000,1,1,1
0.845LKM-1200L,101,1200,1,1,1
0.42LKM-600L,1010,600,1,1,1
0.55LKM-800L,1010,800,1,1,1
0.58LKM-1000L,1010,1000,1,1,1
0.65LKM-1200L,1010,1200,1,1,1
0.546LKM-600L,1010,600,1,1,1
0.715LKM-800L,1010,800,1,1,1
0.754LKM-1000L,1010,1000,1,1,1
0.845LKM-1200L,1010,1200,1,1,1
0.42LKM-600L,1011,600,1,1,1
0.55LKM-800L,1011,800,1,1,1
0.58LKM-1000L,1011,1000,1,1,1
0.65LKM-1200L,1011,1200,1,1,1
0.546LKM-600L,1011,600,1,1,0
0.715LKM-800L,1011,800,1,1,0
0.754LKM-1000L,1011,1000,1,1,1
0.845LKM-1200L,1011,1200,1,1,1
0.42LKM-600L,1012,600,1,1,1
0.55LKM-800L,1012,800,1,1,1
0.58LKM-1000L,1012,1000,1,1,1
0.65LKM-1200L,1012,1200,1,1,1
0.546LKM-600L,1012,600,1,1,0
0.715LKM-800L,1012,800,1,1,0
0.754LKM-1000L,1012,1000,1,1,1
0.845LKM-1200L,1012,1200,1,1,1
0.42LKM-600L,1013,600,1,1,1
0.55LKM-800L,1013,800,1,1,1
0.58LKM-1000L,1013,1000,1,1,1
0.65LKM-1200L,1013,1200,1,1,1
0.546LKM-600L,1013,600,1,1,1
0.715LKM-800L,1013,800,1,1,1
0.754LKM-1000L,1013,1000,1,1,1
0.845LKM-1200L,1013,1200,1,1,1
0.42LKM-600L,1014,600,1,1,1
0.55LKM-800L,1014,800,1,1,1
0.58LKM-1000L,1014,1000,1,1,1
0.65LKM-1200L,1014,1200,1,1,1
0.546LKM-600L,1014,600,1,1,1
0.715LKM-800L,1014,800,1,1,1
0.754LKM-1000L,1014,1000,1,1,1
0.845LKM-1200L,1014,1200,1,1,1
0.42LKM-600L,1015,600,1,1,1
0.55LKM-800L,1015,800,1,1,1
0.58LKM-1000L,1015,1000,1,1,1
0.65LKM-1200L,1015,1200,1,1,1
0.546LKM-600L,1015,600,1,1,0
0.715LKM-800L,1015,800,1,1,0
0.754LKM-1000L,1015,1000,1,1,1
0.845LKM-1200L,1015,1200,1,1,1
0.42LKM-600L,1016,600,1,1,1
0.55LKM-800L,1016,800,1,1,1
0.58LKM-1000L,1016,1000,1,1,1
0.65LKM-1200L,1016,1200,1,1,1
0.546LKM-600L,1016,600,1,1,0
0.715LKM-800L,1016,800,1,1,0
0.754LKM-1000L,1016,1000,1,1,1
0.845LKM-1200L,1016,1200,1,1,1
0.42LKM-600L,1017,600,1,1,1
0.55LKM-800L,1017,800,1,1,1
0.58LKM-1000L,1017,1000,1,1,1
0.65LKM-1200L,1017,1200,1,1,1
0.546LKM-600L,1017,600,1,1,1
0.715LKM-800L,1017,800,1,1,1
0.754LKM-1000L,1017,1000,1,1,1
0.845LKM-1200L,1017,1200,1,1,1
0.42LKM-600L,1018,600,1,1,1
0.55LKM-800L,1018,800,1,1,1
0.58LKM-1000L,1018,1000,1,1,1
0.65LKM-1200L,1018,1200,1,1,1
0.546LKM-600L,1018,600,1,1,1
0.715LKM-800L,1018,800,1,1,1
0.754LKM-1000L,1018,1000,1,1,1
0.845LKM-1200L,1018,1200,1,1,1
0.42LKM-600L,1019,600,1,1,1
0.55LKM-800L,1019,800,1,1,1
0.58LKM-1000L,1019,1000,1,1,1
0.65LKM-1200L,1019,1200,1,1,1
0.546LKM-600L,1019,600,1,1,1
0.715LKM-800L,1019,800,1,1,1
0.754LKM-1000L,1019,1000,1,1,1
0.845LKM-1200L,1019,1200,1,1,1
0.42LKM-600L,102,600,1,1,1
0.55LKM-800L,102,800,1,1,1
0.58LKM-1000L,102,1000,1,1,1
0.65LKM-1200L,102,1200,1,1,1
0.546LKM-600L,102,600,1,1,1
0.715LKM-800L,102,800,1,1,1
0.754LKM-1000L,102,1000,1,1,1
0.845LKM-1200L,102,1200,1,1,1
0.42LKM-600L,1020,600,1,1,1
0.55LKM-800L,1020,800,1,1,1
0.58LKM-1000L,1020,1000,1,1,1
0.65LKM-1200L,1020,1200,1,1,1
0.546LKM-600L,1020,600,1,1,0
0.715LKM-800L,1020,800,1,1,0
0.754LKM-1000L,1020,1000,1,1,1
0.845LKM-1200L,1020,1200,1,1,1
0.42LKM-600L,1021,600,1,1,1
0.55LKM-800L,1021,800,1,1,1
0.58LKM-1000L,1021,1000,1,1,1
0.65LKM-1200L,1021,1200,1,1,1
0.546LKM-600L,1021,600,1,1,1
0.715LKM-800L,1021,800,1,1,1
0.754LKM-1000L,1021,1000,1,1,1
0.845LKM-1200L,1021,1200,1,1,1
0.42LKM-600L,1022,600,1,1,1
0.55LKM-800L,1022,800,1,1,1
0.58LKM-1000L,1022,1000,1,1,1
0.65LKM-1200L,1022,1200,1,1,1
0.546LKM-600L,1022,600,1,1,1
0.715LKM-800L,1022,800,1,1,1
0.754LKM-1000L,1022,1000,1,1,1
0.845LKM-1200L,1022,1200,1,1,1
0.42LKM-600L,1023,600,1,1,1
0.55LKM-800L,1023,800,1,1,1
0.58LKM-1000L,1023,1000,1,1,1
0.65LKM-1200L,1023,1200,1,1,1
0.546LKM-600L,1023,600,1,1,1
0.715LKM-800L,1023,800,1,1,1
0.754LKM-1000L,1023,1000,1,1,1
0.845LKM-1200L,1023,1200,1,1,1
0.42LKM-600L,1024,600,1,1,1
0.55LKM-800L,1024,800,1,1,1
0.58LKM-1000L,1024,1000,1,1,1
0.65LKM-1200L,1024,1200,1,1,1
0.546LKM-600L,1024,600,1,1,1
0.715LKM-800L,1024,800,1,1,1
0.754LKM-1000L,1024,1000,1,1,1
0.845LKM-1200L,1024,1200,1,1,1
0.42LKM-600L,1025,600,1,1,1
0.55LKM-800L,1025,800,1,1,1
0.58LKM-1000L,1025,1000,1,1,1
0.65LKM-1200L,1025,1200,1,1,1
0.546LKM-600L,1025,600,1,1,1
0.715LKM-800L,1025,800,1,1,1
0.754LKM-1000L,1025,1000,1,1,1
0.845LKM-1200L,1025,1200,1,1,1
0.42LKM-600L,1026,600,1,1,1
0.55LKM-800L,1026,800,1,1,1
0.58LKM-1000L,1026,1000,1,1,1
0.65LKM-1200L,1026,1200,1,1,1
0.546LKM-600L,1026,600,1,1,1
0.715LKM-800L,1026,800,1,1,1
0.754LKM-1000L,1026,1000,1,1,1
0.845LKM-1200L,1026,1200,1,1,1
0.42LKM-600L,1027,600,1,1,1
0.55LKM-800L,1027,800,1,1,1
0.58LKM-1000L,1027,1000,1,1,1
0.65LKM-1200L,1027,1200,1,1,1
0.546LKM-600L,1027,600,1,1,1
0.715LKM-800L,1027,800,1,1,1
0.754LKM-1000L,1027,1000,1,1,1
0.845LKM-1200L,1027,1200,1,1,1
0.42LKM-600L,1028,600,1,1,1
0.55LKM-800L,1028,800,1,1,1
0.58LKM-1000L,1028,1000,1,1,1
0.65LKM-1200L,1028,1200,1,1,1
0.546LKM-600L,1028,600,1,1,1
0.715LKM-800L,1028,800,1,1,1
0.754LKM-1000L,1028,1000,1,1,1
0.845LKM-1200L,1028,1200,1,1,1
0.42LKM-600L,1029,600,1,1,1
0.55LKM-800L,1029,800,1,1,1
0.58LKM-1000L,1029,1000,1,1,1
0.65LKM-1200L,1029,1200,1,1,1
0.546LKM-600L,1029,600,1,1,1
0.715LKM-800L,1029,800,1,1,1
0.754LKM-1000L,1029,1000,1,1,1
0.845LKM-1200L,1029,1200,1,1,1
0.42LKM-600L,103,600,1,1,1
0.55LKM-800L,103,800,1,1,1
0.58LKM-1000L,103,1000,1,1,1
0.65LKM-1200L,103,1200,1,1,1
0.546LKM-600L,103,600,1,1,1
0.715LKM-800L,103,800,1,1,1
0.754LKM-1000L,103,1000,1,1,1
0.845LKM-1200L,103,1200,1,1,1
0.42LKM-600L,1030,600,1,1,1
0.55LKM-800L,1030,800,1,1,1
0.58LKM-1000L,1030,1000,1,1,1
0.65LKM-1200L,1030,1200,1,1,1
0.546LKM-600L,1030,600,1,1,1
0.715LKM-800L,1030,800,1,1,1
0.754LKM-1000L,1030,1000,1,1,1
0.845LKM-1200L,1030,1200,1,1,1
0.42LKM-600L,1031,600,1,1,1
0.55LKM-800L,1031,800,1,1,1
0.58LKM-1000L,1031,1000,1,1,1
0.65LKM-1200L,1031,1200,1,1,1
0.546LKM-600L,1031,600,1,1,1
0.715LKM-800L,1031,800,1,1,1
0.754LKM-1000L,1031,1000,1,1,1
0.845LKM-1200L,1031,1200,1,1,1
0.42LKM-600L,1032,600,1,1,1
0.55LKM-800L,1032,800,1,1,1
0.58LKM-1000L,1032,1000,1,1,1
0.65LKM-1200L,1032,1200,1,1,1
0.546LKM-600L,1032,600,1,1,0
0.715LKM-800L,1032,800,1,1,0
0.754LKM-1000L,1032,1000,1,1,1
0.845LKM-1200L,1032,1200,1,1,1
0.42LKM-600L,1033,600,1,1,1
0.55LKM-800L,1033,800,1,1,1
0.58LKM-1000L,1033,1000,1,1,1
0.65LKM-1200L,1033,1200,1,1,1
0.546LKM-600L,1033,600,1,1,1
0.715LKM-800L,1033,800,1,1,1
0.754LKM-1000L,1033,1000,1,1,1
0.845LKM-1200L,1033,1200,1,1,1
0.42LKM-600L,1034,600,1,1,1
0.55LKM-800L,1034,800,1,1,1
0.58LKM-1000L,1034,1000,1,1,1
0.65LKM-1200L,1034,1200,1,1,1
0.546LKM-600L,1034,600,1,1,1
0.715LKM-800L,1034,800,1,1,1
0.754LKM-1000L,1034,1000,1,1,1
0.845LKM-1200L,1034,1200,1,1,1
0.42LKM-600L,1035,600,1,1,1
0.55LKM-800L,1035,800,1,1,1
0.58LKM-1000L,1035,1000,1,1,1
0.65LKM-1200L,1035,1200,1,1,1
0.546LKM-600L,1035,600,1,1,0
0.715LKM-800L,1035,800,1,1,0
0.754LKM-1000L,1035,1000,1,1,1
0.845LKM-1200L,1035,1200,1,1,1
0.42LKM-600L,1036,600,1,1,1
0.55LKM-800L,1036,800,1,1,1
0.58LKM-1000L,1036,1000,1,1,1
0.65LKM-1200L,1036,1200,1,1,1
0.546LKM-600L,1036,600,1,1,0
0.715LKM-800L,1036,800,1,1,0
0.754LKM-1000L,1036,1000,1,1,1
0.845LKM-1200L,1036,1200,1,1,1
0.42LKM-600L,1037,600,1,1,1
0.55LKM-800L,1037,800,1,1,1
0.58LKM-1000L,1037,1000,1,1,1
0.65LKM-1200L,1037,1200,1,1,1
0.546LKM-600L,1037,600,1,1,1
0.715LKM-800L,1037,800,1,1,1
0.754LKM-1000L,1037,1000,1,1,1
0.845LKM-1200L,1037,1200,1,1,1
0.42LKM-600L,1038,600,1,1,1
0.55LKM-800L,1038,800,1,1,1
0.58LKM-1000L,1038,1000,1,1,1
0.65LKM-1200L,1038,1200,1,1,1
0.546LKM-600L,1038,600,1,1,1
0.715LKM-800L,1038,800,1,1,1
0.754LKM-1000L,1038,1000,1,1,1
0.845LKM-1200L,1038,1200,1,1,1
0.42LKM-600L,1039,600,1,1,1
0.55LKM-800L,1039,800,1,1,1
0.58LKM-1000L,1039,1000,1,1,1
0.65LKM-1200L,1039,1200,1,1,1
0.546LKM-600L,1039,600,1,1,1
0.715LKM-800L,1039,800,1,1,1
0.754LKM-1000L,1039,1000,1,1,1
0.845LKM-1200L,1039,1200,1,1,1
0.42LKM-600L,104,600,1,1,1
0.55LKM-800L,104,800,1,1,1
0.58LKM-1000L,104,1000,1,1,1
0.65LKM-1200L,104,1200,1,1,1
0.546LKM-600L,104,600,1,1,1
0.715LKM-800L,104,800,1,1,1
0.754LKM-1000L,104,1000,1,1,1
0.845LKM-1200L,104,1200,1,1,1
0.42LKM-600L,1040,600,1,1,1
0.55LKM-800L,1040,800,1,1,1
0.58LKM-1000L,1040,1000,1,1,1
0.65LKM-1200L,1040,1200,1,1,1
0.546LKM-600L,1040,600,1,1,1
0.715LKM-800L,1040,800,1,1,1
0.754LKM-1000L,1040,1000,1,1,1
0.845LKM-1200L,1040,1200,1,1,1
0.42LKM-600L,1041,600,1,1,1
0.55LKM-800L,1041,800,1,1,1
0.58LKM-1000L,1041,1000,1,1,1
0.65LKM-1200L,1041,1200,1,1,1
0.546LKM-600L,1041,600,1,1,1
0.715LKM-800L,1041,800,1,1,1
0.754LKM-1000L,1041,1000,1,1,1
0.845LKM-1200L,1041,1200,1,1,1
0.42LKM-600L,1042,600,1,1,1
0.55LKM-800L,1042,800,1,1,1
0.58LKM-1000L,1042,1000,1,1,1
0.65LKM-1200L,1042,1200,1,1,1
0.546LKM-600L,1042,600,1,1,1
0.715LKM-800L,1042,800,1,1,1
0.754LKM-1000L,1042,1000,1,1,1
0.845LKM-1200L,1042,1200,1,1,1
0.42LKM-600L,1043,600,1,1,1
0.55LKM-800L,1043,800,1,1,1
0.58LKM-1000L,1043,1000,1,1,1
0.65LKM-1200L,1043,1200,1,1,1
0.546LKM-600L,1043,600,1,1,1
0.715LKM-800L,1043,800,1,1,1
0.754LKM-1000L,1043,1000,1,1,1
0.845LKM-1200L,1043,1200,1,1,1
0.42LKM-600L,1044,600,1,1,1
0.55LKM-800L,1044,800,1,1,1
0.58LKM-1000L,1044,1000,1,1,1
0.65LKM-1200L,1044,1200,1,1,1
0.546LKM-600L,1044,600,1,1,1
0.715LKM-800L,1044,800,1,1,1
0.754LKM-1000L,1044,1000,1,1,1
0.845LKM-1200L,1044,1200,1,1,1
0.42LKM-600L,1045,600,1,1,1
0.55LKM-800L,1045,800,1,1,1
0.58LKM-1000L,1045,1000,1,1,1
0.65LKM-1200L,1045,1200,1,1,1
0.546LKM-600L,1045,600,1,1,0
0.715LKM-800L,1045,800,1,1,0
0.754LKM-1000L,1045,1000,1,1,1
0.845LKM-1200L,1045,1200,1,1,1
0.42LKM-600L,1046,600,1,1,1
0.55LKM-800L,1046,800,1,1,1
0.58LKM-1000L,1046,1000,1,1,1
0.65LKM-1200L,1046,1200,1,1,1
0.546LKM-600L,1046,600,1,1,1
0.715LKM-800L,1046,800,1,1,1
0.754LKM-1000L,1046,1000,1,1,1
0.845LKM-1200L,1046,1200,1,1,1
0.42LKM-600L,1047,600,1,1,1
0.55LKM-800L,1047,800,1,1,1
0.58LKM-1000L,1047,1000,1,1,1
0.65LKM-1200L,1047,1200,1,1,1
0.546LKM-600L,1047,600,1,1,1
0.715LKM-800L,1047,800,1,1,1
0.754LKM-1000L,1047,1000,1,1,1
0.845LKM-1200L,1047,1200,1,1,1
0.42LKM-600L,1048,600,1,1,1
0.55LKM-800L,1048,800,1,1,1
0.58LKM-1000L,1048,1000,1,1,1
0.65LKM-1200L,1048,1200,1,1,1
0.546LKM-600L,1048,600,1,1,1
0.715LKM-800L,1048,800,1,1,1
0.754LKM-1000L,1048,1000,1,1,1
0.845LKM-1200L,1048,1200,1,1,1
0.42LKM-600L,1049,600,1,1,1
0.55LKM-800L,1049,800,1,1,1
0.58LKM-1000L,1049,1000,1,1,1
0.65LKM-1200L,1049,1200,1,1,1
0.546LKM-600L,1049,600,1,1,1
0.715LKM-800L,1049,800,1,1,1
0.754LKM-1000L,1049,1000,1,1,1
0.845LKM-1200L,1049,1200,1,1,1
0.42LKM-600L,105,600,1,1,1
0.55LKM-800L,105,800,1,1,1
0.58LKM-1000L,105,1000,1,1,1
0.65LKM-1200L,105,1200,1,1,1
0.546LKM-600L,105,600,1,1,1
0.715LKM-800L,105,800,1,1,1
0.754LKM-1000L,105,1000,1,1,1
0.845LKM-1200L,105,1200,1,1,1
0.42LKM-600L,1050,600,1,1,1
0.55LKM-800L,1050,800,1,1,1
0.58LKM-1000L,1050,1000,1,1,1
0.65LKM-1200L,1050,1200,1,1,1
0.546LKM-600L,1050,600,1,1,0
0.715LKM-800L,1050,800,1,1,0
0.754LKM-1000L,1050,1000,1,1,1
0.845LKM-1200L,1050,1200,1,1,1
0.42LKM-600L,1051,600,1,1,1
0.55LKM-800L,1051,800,1,1,1
0.58LKM-1000L,1051,1000,1,1,1
0.65LKM-1200L,1051,1200,1,1,1
0.546LKM-600L,1051,600,1,1,1
0.715LKM-800L,1051,800,1,1,1
0.754LKM-1000L,1051,1000,1,1,1
0.845LKM-1200L,1051,1200,1,1,1
0.42LKM-600L,1052,600,1,1,1
0.55LKM-800L,1052,800,1,1,1
0.58LKM-1000L,1052,1000,1,1,1
0.65LKM-1200L,1052,1200,1,1,1
0.546LKM-600L,1052,600,1,1,1
0.715LKM-800L,1052,800,1,1,1
0.754LKM-1000L,1052,1000,1,1,1
0.845LKM-1200L,1052,1200,1,1,1
0.42LKM-600L,1053,600,1,1,1
0.55LKM-800L,1053,800,1,1,1
0.58LKM-1000L,1053,1000,1,1,1
0.65LKM-1200L,1053,1200,1,1,1
0.546LKM-600L,1053,600,1,1,1
0.715LKM-800L,1053,800,1,1,1
0.754LKM-1000L,1053,1000,1,1,1
0.845LKM-1200L,1053,1200,1,1,1
0.42LKM-600L,1054,600,1,1,1
0.55LKM-800L,1054,800,1,1,1
0.58LKM-1000L,1054,1000,1,1,1
0.65LKM-1200L,1054,1200,1,1,1
0.546LKM-600L,1054,600,1,1,1
0.715LKM-800L,1054,800,1,1,1
0.754LKM-1000L,1054,1000,1,1,1
0.845LKM-1200L,1054,1200,1,1,1
0.42LKM-600L,1055,600,1,1,1
0.55LKM-800L,1055,800,1,1,1
0.58LKM-1000L,1055,1000,1,1,1
0.65LKM-1200L,1055,1200,1,1,1
0.546LKM-600L,1055,600,1,1,1
0.715LKM-800L,1055,800,1,1,1
0.754LKM-1000L,1055,1000,1,1,1
0.845LKM-1200L,1055,1200,1,1,1
0.42LKM-600L,1056,600,1,1,1
0.55LKM-800L,1056,800,1,1,1
0.58LKM-1000L,1056,1000,1,1,1
0.65LKM-1200L,1056,1200,1,1,1
0.546LKM-600L,1056,600,1,1,1
0.715LKM-800L,1056,800,1,1,1
0.754LKM-1000L,1056,1000,1,1,1
0.845LKM-1200L,1056,1200,1,1,1
0.42LKM-600L,1057,600,1,1,1
0.55LKM-800L,1057,800,1,1,1
0.58LKM-1000L,1057,1000,1,1,1
0.65LKM-1200L,1057,1200,1,1,1
0.546LKM-600L,1057,600,1,1,1
0.715LKM-800L,1057,800,1,1,1
0.754LKM-1000L,1057,1000,1,1,1
0.845LKM-1200L,1057,1200,1,1,1
0.42LKM-600L,1058,600,1,1,1
0.55LKM-800L,1058,800,1,1,1
0.58LKM-1000L,1058,1000,1,1,1
0.65LKM-1200L,1058,1200,1,1,1
0.546LKM-600L,1058,600,1,1,1
0.715LKM-800L,1058,800,1,1,1
0.754LKM-1000L,1058,1000,1,1,1
0.845LKM-1200L,1058,1200,1,1,1
0.42LKM-600L,1059,600,1,1,1
0.55LKM-800L,1059,800,1,1,1
0.58LKM-1000L,1059,1000,1,1,1
0.65LKM-1200L,1059,1200,1,1,1
0.546LKM-600L,1059,600,1,1,1
0.715LKM-800L,1059,800,1,1,1
0.754LKM-1000L,1059,1000,1,1,1
0.845LKM-1200L,1059,1200,1,1,1
0.42LKM-600L,106,600,1,1,1
0.55LKM-800L,106,800,1,1,1
0.58LKM-1000L,106,1000,1,1,1
0.65LKM-1200L,106,1200,1,1,1
0.546LKM-600L,106,600,1,1,1
0.715LKM-800L,106,800,1,1,1
0.754LKM-1000L,106,1000,1,1,1
0.845LKM-1200L,106,1200,1,1,1
0.42LKM-600L,1060,600,1,1,1
0.55LKM-800L,1060,800,1,1,1
0.58LKM-1000L,1060,1000,1,1,1
0.65LKM-1200L,1060,1200,1,1,1
0.546LKM-600L,1060,600,1,1,1
0.715LKM-800L,1060,800,1,1,1
0.754LKM-1000L,1060,1000,1,1,1
0.845LKM-1200L,1060,1200,1,1,1
0.42LKM-600L,1061,600,1,1,1
0.55LKM-800L,1061,800,1,1,1
0.58LKM-1000L,1061,1000,1,1,1
0.65LKM-1200L,1061,1200,1,1,1
0.546LKM-600L,1061,600,1,1,0
0.715LKM-800L,1061,800,1,1,0
0.754LKM-1000L,1061,1000,1,1,1
0.845LKM-1200L,1061,1200,1,1,1
0.42LKM-600L,1062,600,1,1,1
0.55LKM-800L,1062,800,1,1,1
0.58LKM-1000L,1062,1000,1,1,1
0.65LKM-1200L,1062,1200,1,1,1
0.546LKM-600L,1062,600,1,1,1
0.715LKM-800L,1062,800,1,1,1
0.754LKM-1000L,1062,1000,1,1,1
0.845LKM-1200L,1062,1200,1,1,1
0.42LKM-600L,1063,600,1,1,1
0.55LKM-800L,1063,800,1,1,1
0.58LKM-1000L,1063,1000,1,1,1
0.65LKM-1200L,1063,1200,1,1,1
0.546LKM-600L,1063,600,1,1,1
0.715LKM-800L,1063,800,1,1,1
0.754LKM-1000L,1063,1000,1,1,1
0.845LKM-1200L,1063,1200,1,1,1
0.42LKM-600L,1064,600,1,1,1
0.55LKM-800L,1064,800,1,1,1
0.58LKM-1000L,1064,1000,1,1,1
0.65LKM-1200L,1064,1200,1,1,1
0.546LKM-600L,1064,600,1,1,1
0.715LKM-800L,1064,800,1,1,1
0.754LKM-1000L,1064,1000,1,1,1
0.845LKM-1200L,1064,1200,1,1,1
0.42LKM-600L,1065,600,1,1,1
0.55LKM-800L,1065,800,1,1,1
0.58LKM-1000L,1065,1000,1,1,1
0.65LKM-1200L,1065,1200,1,1,1
0.546LKM-600L,1065,600,1,1,1
0.715LKM-800L,1065,800,1,1,1
0.754LKM-1000L,1065,1000,1,1,1
0.845LKM-1200L,1065,1200,1,1,1
0.42LKM-600L,1066,600,1,1,1
0.55LKM-800L,1066,800,1,1,1
0.58LKM-1000L,1066,1000,1,1,1
0.65LKM-1200L,1066,1200,1,1,1
0.546LKM-600L,1066,600,1,1,1
0.715LKM-800L,1066,800,1,1,1
0.754LKM-1000L,1066,1000,1,1,1
0.845LKM-1200L,1066,1200,1,1,1
0.42LKM-600L,1067,600,1,1,1
0.55LKM-800L,1067,800,1,1,1
0.58LKM-1000L,1067,1000,1,1,1
0.65LKM-1200L,1067,1200,1,1,1
0.546LKM-600L,1067,600,1,1,1
0.715LKM-800L,1067,800,1,1,1
0.754LKM-1000L,1067,1000,1,1,1
0.845LKM-1200L,1067,1200,1,1,1
0.42LKM-600L,1068,600,1,1,1
0.55LKM-800L,1068,800,1,1,1
0.58LKM-1000L,1068,1000,1,1,1
0.65LKM-1200L,1068,1200,1,1,1
0.546LKM-600L,1068,600,1,1,1
0.715LKM-800L,1068,800,1,1,1
0.754LKM-1000L,1068,1000,1,1,1
0.845LKM-1200L,1068,1200,1,1,1
0.42LKM-600L,1069,600,1,1,1
0.55LKM-800L,1069,800,1,1,1
0.58LKM-1000L,1069,1000,1,1,1
0.65LKM-1200L,1069,1200,1,1,1
0.546LKM-600L,1069,600,1,1,1
0.715LKM-800L,1069,800,1,1,1
0.754LKM-1000L,1069,1000,1,1,1
0.845LKM-1200L,1069,1200,1,1,1
0.42LKM-600L,107,600,1,1,1
0.55LKM-800L,107,800,1,1,1
0.58LKM-1000L,107,1000,1,1,1
